bolgeler;il;ilce;biyometanizasyona_uygun_belediye_atiklarim_miktari_ton_yil;yakmaya_uygun_belediye_atiklari_miktari_ton_yil;biyometanizasyona_uygun_belediye_atiklari_enerji_esdegeri_tep_yil;yakmaya_uygun_belediye_tiklari_enerji_esdegeri_tep_yil;biyometanizasyona_ve_yakmaya_uygun_toplam_enerjiesdegeri_tep_yil
Ýç Anadolu Bölgesi;Çankýrý;Kurþunlu;1523,6;1862,2;49,1;260,8;309,9
Ýç Anadolu Bölgesi;Çankýrý;Korgun;837,6;1023,7;27;143,3;170,3
Ýç Anadolu Bölgesi;Çankýrý;Merkez;14194,9;17349,3;457,8;2429,3;2887,1
Ýç Anadolu Bölgesi;Çankýrý;Yapraklý;1327,6;1622,6;42,8;227,2;270
Ýç Anadolu Bölgesi;Çankýrý;Þabanözü;2081,4;2543,9;67,1;356,2;423,3
Ýç Anadolu Bölgesi;Çankýrý;Bayramören;629,4;769,3;46101;107,7;46208,7
Ýç Anadolu Bölgesi;Çankýrý;Atkaracalar;1066,3;1303,2;34,4;182,5;216,9
Ýç Anadolu Bölgesi;Çankýrý;Kýzýlýrmak;1215,1;1485,1;39,2;208;247,2
Karadeniz Bölgesi;Çorum;Alaca;4650,6;5684;150;795,9;945,9
Karadeniz Bölgesi;Çorum;Bayat;2442,8;2985,7;78,8;418,1;496,9
Karadeniz Bölgesi;Çorum;Merkez;43579,8;53264,3;1405,4;7458,3;8863,7
Karadeniz Bölgesi;Çorum;Ýskilip;4811,1;5880,2;155,2;823,4;978,6
Karadeniz Bölgesi;Çorum;Mecitözü;2314,2;2828,5;74,6;396,1;470,7
Karadeniz Bölgesi;Çorum;Ortaköy;1285,5;1571,1;41,5;220;261,5
Karadeniz Bölgesi;Çorum;Osmancýk;6353,5;7765,4;204,9;1087,4;1292,3
Karadeniz Bölgesi;Çorum;Dodurga;941,3;1150,5;46142;161,1;46303,1
Karadeniz Bölgesi;Çorum;Uðurludað;1219,9;1490,9;39,3;208,8;248,1
Karadeniz Bölgesi;Çorum;Sungurlu;7255,5;8867,9;234;1241,7;1475,7
Karadeniz Bölgesi;Çorum;Kargý;2318,5;2833,7;74,8;396,8;471,6
Karadeniz Bölgesi;Çorum;Boðazkale;617,2;754,3;46284;105,6;46389,6
Karadeniz Bölgesi;Çorum;Oðuzlar;810,5;990,6;46048;138,7;46186,7
Karadeniz Bölgesi;Çorum;Laçin;705,1;861,8;46225;120,7;46345,7
Ege Bölgesi;Denizli;Acýpayam;10602,6;12958,7;341,9;2203,4;2545,3
Ege Bölgesi;Denizli;Çal;3669,4;4484,8;118,3;762,6;880,9
Ege Bölgesi;Denizli;Çameli;3478,3;4251,3;112,2;722,8;835
Ege Bölgesi;Denizli;Çardak;1742,2;2129,4;56,2;362,1;418,3
Ege Bölgesi;Denizli;Buldan;5190,2;6343,6;167,4;1078,6;1246
Ege Bölgesi;Denizli;Güney;1900,5;2322,9;61,3;395;456,3
Ege Bölgesi;Denizli;Kale;3885,5;4748,9;125,3;807,5;932,8
Ege Bölgesi;Denizli;Sarayköy;5862,2;7164,9;189,1;1218,3;1407,4
Ege Bölgesi;Denizli;Serinhisar;2749,3;3360,3;88,7;571,4;660,1
Ege Bölgesi;Denizli;Çivril;11513,5;14072,1;371,3;2392,7;2764
Ege Bölgesi;Denizli;Bekilli;1346,1;1645,2;43,4;279,7;323,1
Ege Bölgesi;Denizli;Baklan;1077,3;1316,6;34,7;223,9;258,6
Ege Bölgesi;Denizli;Honaz;6322,5;7727,6;203,9;1313,9;1517,8
Ege Bölgesi;Denizli;Tavas;8353,8;10210,2;269,4;1736;2005,4
Ege Bölgesi;Denizli;Babadað;1242,6;1518,8;40,1;258,2;298,3
Ege Bölgesi;Denizli;Beyaðaç;1315,2;1607,5;42,4;273,3;315,7
Ege Bölgesi;Denizli;Bozkurt;2436,5;2977,9;78,6;506,3;584,9
Ege Bölgesi;Denizli;Pamukkale;65554,7;80122,4;2114,1;13623,3;15737,4
Ege Bölgesi;Denizli;Merkezefendi;57580,6;70376,3;1857;11966,1;13823,1
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Çermik;8345,9;10200,5;269,2;1734,4;2003,6
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Çýnar;12188,5;14897,1;393,1;2533;2926,1
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Çüngüþ;1959;2394,3;63,2;407,1;470,3
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Bismil;19328;23623,1;623,3;4016,6;4639,9
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Dicle;6277,6;7672,7;202,5;1304,6;1507,1
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Ergani;21369,7;26118,6;689,2;4441;5130,2
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Hazro;2781,6;3399,7;89,7;578,1;667,8
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Hani;5436,7;6644,8;175,3;1129,8;1305,1
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Kulp;6018,1;7355,5;194,1;1250,7;1444,8
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Lice;4297,3;5252,2;138,6;893;1031,6
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Kocaköy;2739,5;3348,3;88,3;569,3;657,6
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Silvan;14235,9;17399,4;459,1;2958,4;3417,5
